SA3 Names,TotalM,Male,Female,Population,popPer10k
Queanbeyan,4179,32664,32122,64786,645
Snowy Mountains,593,10674,10046,20720,286
South Coast,1701,37632,39101,76733,222
Goulburn - Mulwaree,1236,19335,19072,38407,322
Young - Yass,991,18787,19369,38156,260
Gosford,12348,86375,92052,178427,692
Wyong,5942,81600,86567,168167,353
Bathurst,1591,24775,24370,49145,324
Lachlan Valley,1093,27228,27455,54683,200
Lithgow - Mudgee,977,24136,23731,47867,204
Orange,2162,30057,31205,61262,353
Clarence Valley,1054,26823,26846,53669,196
Coffs Harbour,5110,44679,47787,92466,553
Bourke - Cobar - Coonamble,453,10850,10754,21604,210
Broken Hill and Far West,353,9753,10128,19881,178
Dubbo,2800,36712,37368,74080,378
Lower Hunter,2077,49527,48403,97930,212
Maitland,3457,42401,44621,87022,397
Port Stephens,2175,37701,38712,76413,285
Upper Hunter,910,15516,15073,30589,297
Dapto - Port Kembla,3708,39249,40573,79822,465
Illawarra Catchment Reserve,0,5,0,5,0
Kiama - Shellharbour,3341,48441,50814,99255,337
Wollongong,9343,66376,68383,134759,693
Great Lakes,663,16139,17170,33309,199
Kempsey - Nambucca,829,25394,25762,51156,162
Lord Howe Island,24,220,232,452,531
Port Macquarie,2927,41583,45192,86775,337
Taree - Gloucester,1149,27996,29349,57345,200
Albury,3336,32640,34406,67046,498
Lower Murray,214,6720,6336,13056,164
Upper Murray exc. Albury,696,21550,21897,43447,160
Armidale,2044,18111,19424,37535,545
Inverell - Tenterfield,746,19092,19633,38725,193
Moree - Narrabri,467,12412,12304,24716,189
Tamworth - Gunnedah,2496,41646,42933,84579,295
Lake Macquarie - East,4286,61622,64868,126490,339
Lake Macquarie - West,2892,41502,43523,85025,340
Newcastle,10226,87900,91097,178997,571
Richmond Valley - Coastal,4621,42285,45487,87772,526
Richmond Valley - Hinterland,1813,35340,36554,71894,252
Tweed Valley,3939,46804,50586,97390,404
Griffith - Murrumbidgee (West),2733,24857,24700,49557,551
Tumut - Tumbarumba,420,7516,7412,14928,281
Wagga Wagga,5016,48977,50189,99166,506
Shoalhaven,3182,53607,54719,108326,294
Southern Highlands,2484,25301,27378,52679,472
Baulkham Hills,35883,75876,78890,154766,2319
Dural - Wisemans Ferry,2112,14073,13842,27915,757
Hawkesbury,616,12706,12301,25007,246
Rouse Hill - McGraths Hill,12824,28181,28503,56684,2262
Blacktown,32202,71682,70919,142601,2258
Blacktown - North,46029,71612,71161,142773,3224
Mount Druitt,22264,56813,58811,115624,1926
Botany,10936,29443,29336,58779,1861
Marrickville - Sydenham - Petersham,5298,27216,27559,54775,967
Sydney Inner City,38870,113854,103946,217800,1785
Eastern Suburbs - North,17245,60705,66464,127169,1356
Eastern Suburbs - South,19693,65373,68868,134241,1467
Bankstown,29305,92113,94123,186236,1574
Canterbury,24738,72154,68936,141090,1753
Hurstville,23135,64901,66966,131867,1754
Kogarah - Rockdale,24223,72435,73478,145913,1660
Canada Bay,13518,41593,45118,86711,1559
Leichhardt,6280,27004,29390,56394,1114
Strathfield - Burwood - Ashfield,28324,79907,81757,161664,1752
Chatswood - Lane Cove,23970,56882,60576,117458,2041
Hornsby,21043,43058,44393,87451,2406
Ku-ring-gai,26011,59985,64374,124359,2092
North Sydney - Mosman,15542,44252,50524,94776,1640
Manly,7265,20957,22218,43175,1683
Pittwater,5571,30969,32511,63480,878
Warringah,22003,77000,79897,156897,1402
Camden,4289,35860,37715,73575,583
Campbelltown (NSW),29611,87381,90494,177875,1665
Wollondilly,1008,22925,22909,45834,220
Blue Mountains,2987,37767,40183,77950,383
Blue Mountains - South,0,8,0,8,0
Penrith,14431,78199,81110,159309,906
Richmond - Windsor,1191,18860,19149,38009,313
St Marys,6189,28372,28419,56791,1090
Auburn,27291,54564,48983,103547,2636
Carlingford,19240,36821,37200,74021,2599
Merrylands - Guildford,31740,83155,80663,163818,1938
Parramatta,45059,77045,75080,152125,2962
Pennant Hills - Epping,14576,26486,28351,54837,2658
Ryde - Hunters Hill,32961,71893,75310,147203,2239
Bringelly - Green Valley,24498,71080,72001,143081,1712
Fairfield,46289,96126,99043,195169,2372
Liverpool,30471,67723,68452,136175,2238
Cronulla - Miranda - Caringbah,8419,57531,60336,117867,714
Sutherland - Menai - Heathcote,7710,54723,57018,111741,690
Migratory - Offshore - Shipping (NSW),0,0,0,0,0
No usual address (NSW),459,6375,4997,11372,404
Ballarat,5077,55982,60219,116201,437
Creswick - Daylesford - Ballan,840,15481,15497,30978,271
Maryborough - Pyrenees,367,13582,13170,26752,137
Bendigo,5294,49462,53577,103039,514
Heathcote - Castlemaine - Kyneton,1526,26167,26336,52503,291
Loddon - Elmore,220,6168,6053,12221,180
Barwon - West,536,11359,11121,22480,238
Geelong,14929,103468,108519,211987,704
Surf Coast - Bellarine Peninsula,3834,45240,48180,93420,410
